Name|Type|Size|Parent Directory
70a05ee23ee26e0aa4b735ce57e118d4d3c6d5|file|52|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\8f
8f|directory|52|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
d1ed94267e5038edf9aed5a12398373eb3f5d3|file|495|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\90
90|directory|495|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
570262a97b038c27c7bb751507d8b06ef7d2a7|file|345|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\91
91|directory|345|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
b458a29b5642c0dd127488019b523f2f89b704|file|500|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\92
92|directory|500|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
55064de86697f2f8a8ae4a8f9f35fd2a9a91ed|file|551|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\93
93|directory|551|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
a25f7f4cb416c083d265558da75d457237d671|file|155|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\94
94|directory|155|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
a61f190c16a735eb64549bffff3d4c05a946bc|file|230|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\9b
9b|directory|230|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
a0594ca933aa660f8b3f99d9fb7e71e0afafff|file|147|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\9d
9d|directory|147|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
85b286fa582dc841a657ab534461a881e2933d|file|47|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\9e
9156ed99c5d0323aefccc572d805b0a3b30f13|file|249|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\9e
9e|directory|296|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
3ab64e785527e1877760040bfc755df02bbce6|file|173|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\a3
df767c2e3f2c2e05557c08f3aa7fb4ffe7c79b|file|862|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\a3
a3|directory|1035|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
71a2c93136ccb7f8094a2783d905d33dff9163|file|147|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\a9
a9|directory|147|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
8fddb09e79eb7ecd0c285cb7a8c1a819dd5891|file|466|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\aa
aa|directory|466|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
e9ef2d97b6da36a3468a3dbf0881f8e8017b14|file|254|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\ae
ae|directory|254|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
70c0f62bb9e9c19c72a06b5b894bebd941fc7b|file|46|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\af
af|directory|46|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
23800c89c8b1cdc102c7eee53e5c656543cc3f|file|47|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\b4
b4|directory|47|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
b889729d27cb521e7be722c10171ab349e765c|file|73|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\b9
b9|directory|73|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
91c87cb93308ce347affb4162b0d65685599b9|file|159|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\ba
ba|directory|159|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
500108b91692ca46c35fc6633f96923bdfe463|file|1090|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\bf
bf|directory|1090|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
2dfa46ed745be6b911bcdb59ac35b9724db794|file|198|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\c3
3c091a73436214aa5af7cc4ffa2b54788bff4a|file|172|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\c3
4e62d65f562bc60b1da082be881ae6d32a4dd9|file|1092|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\c3
c3|directory|1462|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
b3e4c2a515b918fca32a1a05eb690f8920da5d|file|350|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\c7
c7|directory|350|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
f1a2b2d8c681184a5b89b5f8f6ad24f443a26c|file|169|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\c9
c9|directory|169|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
cf8ce23bd3036ca032cca7d737048121074f3c|file|354|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\ca
dd7e76d37c7fb65e8327fb3d90ea43285c920d|file|91|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\ca
ca|directory|445|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
323393daaa534a0e37b5c219682457c66f202a|file|233|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\cd
cd|directory|233|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
eaaff0adc055f57d0e8a1c1682ca9bfd2df375|file|47|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\d1
d1|directory|47|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
153b46b85443d803551eaa56fcce0bf5419bc3|file|123|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\d4
d4|directory|123|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
d4d5fad416de178d206664352082cfd285eb7b|file|77|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\d6
d6|directory|77|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
4bab7af010ca18047fc923577fecbecc7eaeaa|file|77|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\db
f8d403b95177ddcd8e96a14432ddeebeee0659|file|49|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\db
db|directory|126|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
ff995b468c41e1398768d74d500fa9e7460819|file|77|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\dc
dc|directory|77|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
5154ea906ac27a46e57b344460be084d39eeee|file|227|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\dd
dd|directory|227|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
